,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Entreprise A,Entreprise B,Type d'alliance,Date,Concurrence,Explication alliance,Source,commentaire
Databricks,Nvidia,Accord de coopération stratégique,,,Intégration accélérateurs IA,https://www.databricks.com/blog/databricks-brings-ai-enterprise-using-nvidia-ai-and-accelerated-computing,
Ericsson,Microsoft,Accord de coopération stratégique,1999,,Partenariat edge computing 5G,https://www.ericsson.com/en/about-us/history/changing-the-world/big-bang/collaboration-with-microsoft,
Google,Anthropic,Accord de coopération stratégique,,,Partenariat ,https://siecledigital.fr/2025/03/12/google-et-anthropic-une-alliance-discrete-mais-strategique/,
Google,Orange,Accord de coopération stratégique,,,Partenariat pour cloud souverain et IA dans les réseaux en Europe,https://www.lefigaro.fr/flash-eco/orange-renforce-son-alliance-google-pour-deployer-l-ia-generative-dans-son-reseau-20240409,
Google,Anthropic,Investissement,,,1 milliard $,https://siecledigital.fr/2025/03/12/google-et-anthropic-une-alliance-discrete-mais-strategique/,
Google,Nvidia,Accord de coopération stratégique,,,Collaboration sur l'entraînement IA et TPU/GPU,https://www.tradingsat.com/nvidia-US67066G1040/actualites/nvidia-nvidia-renforce-son-partenariat-avec-google-autour-de-l-ia-1139438.html,
Google,Samsung,Accord de coopération stratégique,,,Optimisation Android et Tensor sur Galaxy,https://news.samsung.com/be_fr/samsung-et-google-cloud-unissent-leurs-forces-avec-lannonce-de-lia-generative-sur-la-serie-samsung-galaxy-s24,
Google,Foxconn,Transfert de technologies/connaissances,,Non-concurrence,Fabrication Pixel,https://www.zdnet.fr/actualites/realite-augmentee-google-achete-des-brevets-a-foxconn-39793374.htm,
Google,Salesforce,Accord de coopération stratégique,,,Partenariat sur l’IA générative d’entreprise,https://www.salesforce.com/fr/partners/google/,
Google,SAP,Accord de coopération stratégique,,,Partenariat IA et cloud,https://cloud.google.com/solutions/sap?hl=fr,
Google DeepMind (A),Oxford University (B),Investissement,,,Collaboration de recherche IA,https://www.development.ox.ac.uk/news/new-google-deepmind-funding-to-help-diversify-ai-and-machine-learning-research-at-oxford,
Huawei,Tencent,Accord de coopération stratégique,,,Collaboration cloud et IA en Chine,businesskorea.co.kr/news/articleView.html?idxno=219687,
IBM,Anthropic,Accord de coopération stratégique,,,Partenariat stratégique,https://bourse.fortuneo.fr/actualites-amp/ibm-signe-un-partenariat-avec-anthropic-pour-le-developpement-d-une-ia-8174544,
IBM,Apple,Ancien partenariat,,,"Gros partenariat stratégique en 2014, depuis rien",https://www.apple.com/newsroom/2014/07/15Apple-and-IBM-Forge-Global-Partnership-to-Transform-Enterprise-Mobility/?utm_source=chatgpt.com,
IBM,Microsoft,Accord de coopération stratégique,2025 (évolution d'une collaboration qui remonte à 1980),,Collaboration cloud hybride,"https://newsroom.ibm.com/2025-04-29-ibm-launches-microsoft-practice-to-deliver-transformative-business-value-for-clients?utm_source=chatgpt.comIBM Press, 2023, https://www.ibm.com/microsoft",
IBM,Vodafone Group,Accord de coopération stratégique,,,Partenariat cloud et IA,https://newsroom.ibm.com/2025-03-03-vodafone-and-ibm-work-to-future-proof-smartphone-security-with-quantum-safe-cryptography,
IBM,Red Hat,Accord de coopération stratégique,,,Intégration IA open-source,https://newsroom.ibm.com/2020-07-21-Adobe-IBM-and-Red-Hat-Announce-Strategic-Partnership-to-Advance-Customer-Experience-Transformation,
IBM,Red Hat,Acquisition,,,34 milliards $,https://www.redhat.com/en/ibm,
Open AI ,Oracle,Client/fournisseur,,,"contrat sur 5ans,une commande de plus de 300 Md$ d'infrastructure de datacenter à Oracle dans le cadre du projet Seagate.",https://www.cio-online.com/actualites/lire-le-mega-contrat-oracle-openai-laisse-des-questions-en-suspens-pour-les-entreprises-16544.html,
IBM,SAP,Accord de coopération stratégique,,,Partenariat pour transformation numérique,https://www.ibm.com/sap,
Intel,TSMC,Client/fournisseur,,,Utilisation des puces ,https://hardwareand.co/actualites/breves/quels-sont-les-principaux-clients-de-tsmc-en-2025-puis-2026-voici-la-liste,
Lyft ,Uber,Accord de coopération stratégique,,,Partenariat pour le lancement de robo-taxis en Europe,https://fr.investing.com/news/stock-market-news/les-actions-de-baidu-et-lyft-bondissent-grace-a-un-partenariat-de-robotaxis-en-europe-2988864,
Microsoft,LinkedIn,Acquisition,,,Acquisition ,"Microsoft News, 2023",
MediaTek,TSMC,Client/fournisseur,,,Utilisation des puces ,https://hardwareand.co/actualites/breves/quels-sont-les-principaux-clients-de-tsmc-en-2025-puis-2026-voici-la-liste,
Meta,Scale AI,Investissement,2025,,14 milliards,https://www.lemonde.fr/economie/article/2025/06/13/meta-investit-14-milliards-de-dollars-dans-scale-ai-pour-se-renforcer-dans-l-intelligence-artificielle_6612674_3234.html,
Meta,Microsoft,Accord de coopération stratégique,2024,,Partenariat Metaverse et cloud : nouveau Microsoft Practice au sein d’IBM Consulting,"Meta News, 2023, https://blogs.expandreality.io/microsoft-and-meta-partner-immersive-experiences-for-future-work",
Meta,Amazon,Accord de coopération stratégique,,,Accord publicitaire et distribution,https://www.omniaretail.com/blog/amazon-and-metas-2023-partnership-share-a-common-end-goal,
Meta,Hugging Face,Accord de coopération stratégique,,,Partenariat sur open-source IA,https://siecledigital.fr/2023/11/09/meta-sassocie-a-hugging-face-et-scaleway-pour-soutenir-les-jeunes-pousses-francaises/,
Meta,AWS,Accord de coopération stratégique,,,Utilisation des services cloud AWS,https://www.hpcwire.com/off-the-wire/aws-and-meta-partner-to-accelerate-ai-innovation/,
Microsoft,Nvidia,Accord de coopération stratégique,,,Partenariat pour services IA sur Azure,"Nvidia Blog, 2023",
Microsoft,CoreWeave,Client/fournisseur,,,Partenaire cloud,https://www.usine-digitale.fr/article/nvidia-signe-pour-6-3-milliards-de-dollars-de-commandes-aupres-de-coreweave.N2237844,
Microsoft,Facebook,Investissement,,,240millions $,https://www.ecommercemag.fr/Thematique/marketing-1221/Breves/Facebook-Microsoft-annoncent-developpement-leur-partenariat-publicitaire-168481.htm/amp,
Microsoft,OpenAI,Investissement,,," Microsoft reste un investisseur de poids, avec environ 30% du capital selon les estimations, OpenAI semble chercher à s’émanciper pour affirmer sa trajectoire propre.",https://siecledigital.fr/2025/09/15/openai-semancipe-un-nouveau-partenariat-redefinit-ses-liens-avec-microsoft/,
Microsoft,AT&T,Accord de coopération stratégique,,,Partenariat cloud et 5G,https://azure.microsoft.com/en-us/blog/improving-the-cloud-for-telcos-updates-of-microsoft-s-acquisition-of-att-s-network-cloud/,
Microsoft,Databricks,Accord de coopération stratégique,,,Partenariat cloud et analyse de données,https://www.databricks.com/company/newsroom/press-releases/databricks-closes-series-h-with-additional-participation-from-strategic-partners?utm_source=chatgpt.com,
Microsoft,Databricks,Investissement,,,Microsoft a investi dans Databricks lors de certaines levées de fonds ,https://www.databricks.com/company/newsroom/press-releases/databricks-closes-series-h-with-additional-participation-from-strategic-partners?utm_source=chatgpt.com,
Microsoft,GitHub,Acquisition,,,Acquisition et intégration IA,https://www.lemonde.fr/pixels/article/2018/06/04/qu-est-ce-que-github-la-plate-forme-que-microsoft-vient-de-racheter_5309488_4408996.html,
Microsoft,GitHub,Accord de coopération stratégique,,,Collaboration sur outils DevOps,https://about.gitlab.com/partners/technology-partners/,
Netflix,Yahoo,Accord de publicité,,,Partenariat pour offre publicitaire,https://variety.com/2025/tv/news/netflix-yahoo-programmatic-advertising-sales-partnership-1236432596/,
Netflix,Amazon,Accord de publicité,,,Accords de diffusion AWS,https://www.emarketer.com/content/what-amazon-netflix-ad-alliance-means-commerce-media-future,
Nokia,Google,Accord de coopération stratégique,,,Collaboration sur réseaux cloud natifs,https://www.nokia.com/newsroom/nokia-network-apis-now-available-on-google-cloud-marketplace-making-it-even-easier-for-developers-to-utilize/,
Nvidia,CoreWeave,Client/fournisseur,,,Partenaire cloud/GPU,https://next.ink/203620/ia-la-valse-des-contrats-entre-nvidia-openai-et-consorts-ravive-les-craintes-dune-bulle/,
Nvidia,TSMC,Client/fournisseur,,,Utilisation des puces ,https://hardwareand.co/actualites/breves/quels-sont-les-principaux-clients-de-tsmc-en-2025-puis-2026-voici-la-liste,
Nvidia,OpenAI,Investissement,,,Investissement+ partenariat,https://next.ink/203620/ia-la-valse-des-contrats-entre-nvidia-openai-et-consorts-ravive-les-craintes-dune-bulle/, Nvidia déclarait investir 100 milliards de dollars dans la société pour l’aider à financer ses grands plans de constructions de centres de données
Nvidia,Arm,Tentative d'acquisition,,,Tentative d’acquisition avortée,"CNBC, 2022",
Nvidia,TSMC,Accord de coopération stratégique,2024,,"Production de GPU Hopper + domaine des semi-conducteurs, notamment pour la fabrication de puces destinées à l'intelligence artificielle (IA)", https://quantaintelligence.ai/2024/09/15/semiconductors/nvidias-semiconductor-partnerships-transform-ai-landscape,
Nvidia ,Intel,Accord de coopération stratégique,2025,,,https://www.lexpress.fr/economie/high-tech/semi-conducteurs-les-dessous-de-laccord-entre-les-deux-geants-nvidia-et-intel-E3NW5RBWNFGSNIYAQJ3EJTMIQ4/,
Nvidia ,Intel,Investissement,2025,,5 milliards $,https://www.lexpress.fr/economie/high-tech/semi-conducteurs-les-dessous-de-laccord-entre-les-deux-geants-nvidia-et-intel-E3NW5RBWNFGSNIYAQJ3EJTMIQ4/,
OpenAI,AMD,Accord de coopération stratégique,2025,,Partenariat stratégique et open AI entre au capital de AMD,https://next.ink/203620/ia-la-valse-des-contrats-entre-nvidia-openai-et-consorts-ravive-les-craintes-dune-bulle/,
OpenAI,Broadcom,Accord de coopération stratégique,,,OpenAI veut créer ses propres puces IA avec Broadcom,https://techxplore.com/news/2025-10-openai-partners-broadcom-ai-chips.html,
OpenAI,Orange,Accord de coopération stratégique,2025,,IA pour le déploiement du réseau orange en Afrique,https://leclaireur.fnac.com/article/615736-orange-annonce-un-partenariat-avec-openai-chatgpt-quest-ce-que-ca-change-pour-les-clients/,
OpenAI,CoreWeave,Client/fournisseur,,,Partenaire cloud,https://www.usine-digitale.fr/article/nvidia-signe-pour-6-3-milliards-de-dollars-de-commandes-aupres-de-coreweave.N2237844,
OpenAI,AMD,Investissement,2025,,Partenariat stratégique et open AI entre au capital de AMD,https://next.ink/203620/ia-la-valse-des-contrats-entre-nvidia-openai-et-consorts-ravive-les-craintes-dune-bulle/,
OpenAI ,CoreWeave,Investissement,,,OpenAI actionnaire de Corewave,https://www.usine-digitale.fr/article/nvidia-signe-pour-6-3-milliards-de-dollars-de-commandes-aupres-de-coreweave.N2237844,
Oracle,Nvidia,Accord de coopération stratégique,,,Alliance pour IA et cloud computing,https://www.oracle.com/fr/cloud/nvidia/,
Oracle,Microsoft,Accord de coopération stratégique,,,Interopérabilité cloud,"https://www.oracle.com/cloud/azure/interconnect/faq/#:~:text=Oracle's%20partnership%20with%20Microsoft%20enables,certification%20and%20support%20from%20Oracle.",
Oracle,Alphabet ,Accord de coopération stratégique,2025,,Interopérabilité cloud,https://www.boursier.com/actions/actualites/news/accord-entre-oracle-et-alphabet-sur-gemini-964965.html,Google cloud
Oracle,ByteDance,Acquisition,,,Oracle is set to take control of TikTok's US business in a deal,https://www.newsbytesapp.com/news/business/oracle-to-run-tiktok-in-us-under-project-texas/tldr,
Pinterest,Amazon,Accord de publicité,2024,,Accord publicitaire,"https://www.lsa-conso.fr/amazon-s-associe-a-tiktok-et-pinterest-pour-favoriser-les-achats-via-ces-reseaux-sociaux,456777",
Qualcomm,TSMC,Client/fournisseur,,,Utilisation des puces ,https://hardwareand.co/actualites/breves/quels-sont-les-principaux-clients-de-tsmc-en-2025-puis-2026-voici-la-liste,
Rivian,Amazon,Accord de coopération stratégique,2019,,Fourniture de véhicules électriques,https://www.reuters.com/article/technology/amazon-vows-to-be-carbon-neutral-by-2040-buying-100000-electric-vans-idUSKBN1W41ZV/,
Salesforce,Nvidia,Accord de coopération stratégique,,,Intégration IA générative Einstein GPT,https://www.salesforce.com/news/press-releases/2024/09/17/nvidia-ai-agent-partnership/,
Samsung,Qualcomm,Accord de coopération stratégique,,,Alliance pour processeurs et modems 5G,https://techaeris.com/2025/02/04/samsung-display-qualcomm-auto-oled-market/,
Snowflake,Nvidia,Accord de coopération stratégique,,,Partenariat pour traitement IA,https://www.usine-digitale.fr/article/snowflake-renforce-son-partenariat-avec-nvidia-autour-de-l-ia.N2213949,
Sony ,TSMC ,Investissement,,,Construction d’usine au Japon,https://en.wikipedia.org/wiki/Japan_Advanced_Semiconductor_Manufacturing,
Sony,Honda,Jointventure,,,Joint venture sur véhicules électriques,"https://journalauto.com/constructeurs/ces-2025-sony-honda-mobility-vendra-sa-voiture-electrique-en-ligne/#:~:text=Sony%20Honda%20Mobility%20a%20concr%C3%A9tis%C3%A9,d%C3%A9tails%20sur%20la%20strat%C3%A9gie%20commerciale.",
Spotify,Google,Accord de coopération stratégique,,,Accord sur le paiement in-app,https://newsroom.spotify.com/2022-03-23/spotify-and-google-announce-user-choice-billing/,
Spotify,OpenAI,Accord de coopération stratégique,,,Intégration de voix IA pour podcasts,https://www.generation-nt.com/actualites/spotify-chatgpt-integration-musique-playlist-openai-2063678,
Spotify,Samsung,Accord de coopération stratégique,,,Intégration native sur appareils Galaxy,https://techcrunch.com/2022/08/17/spotify-and-samsung-expand-their-partnership-in-2022-with-more-pre-installs-integrations-and-free-trials/,
Tesla,Nvidia,Client/fournisseur,,,Partenariat pour IA embarquée,https://www.tomshardware.fr/tesla-va-investir-des-milliards-de-dollars-en-gpus-amd-et-nvidia-pour-ameliorer-sa-conduite-autonome/,
Tesla,Panasonic,FUTUR collab,,,Production de batteries,PARTENARIAT DANS LE FUTUR MAIS PAS ENCORE FAIT,
Tesla ,Samsung,Accord de coopération stratégique,,,"Partenariat stratégique, puce electronique",https://www.lecho.be/entreprises/semi-conducteurs/samsung-se-relance-dans-les-puces-grace-a-un-partenariat-strategique-avec-tesla/10617575.html,
Thales,Google,Jointventure,2024,,"Création de la filiale de thales S3NS, qui bénéficié de la techno de Google",https://www.challenges.fr/entreprise/tech-numerique/thales-cree-la-societe-s3ns-en-partenariat-avec-google-cloud_819247,
TSMC,AMD,Client/fournisseur,,,Utilisation des puces de AMD,"AnandTech, 2023",
Uber,Nvidia,Accord de coopération stratégique,,,Partenariat IA pour conduite autonome,https://www.investors.com/news/technology/uber-stock-nvidia-autonomous-driving-partnership-robotaxi/,
Waymo,Volvo,Accord de coopération stratégique,,,Partenariat pour véhicules autonomes,https://www.media.volvocars.com/fr/fr-fr/media/pressreleases/269486/volvo-car-group-signe-un-partenariat-avec-waymo,
YouTube,Universal Music,Accord de coopération stratégique,,,Partenariat IA musicale,https://www.actuia.com/actualite/youtube-et-universal-music-group-partenaires-pour-le-lancement-dun-incubateur-dia-musicale/,
Google,Youtube,Acquisition,2006,,achat,https://www.actuia.com/actualite/youtube-et-universal-music-group-partenaires-pour-le-lancement-dun-incubateur-dia-musicale/,
Toyota,Waymo,Accord de coopération stratégique,,Non-concurrence,Partenariat  voiture autonome,https://www.usine-digitale.fr/article/toyota-veut-equiper-ses-voitures-du-systeme-de-conduite-autonome-de-waymo.N2231503,
Honda,Cruise,Jointventure,pour 2026,,création coentreprise qui lancera un service de covoiturage sans conducteur au Japon ,https://global.honda/en/newsroom/news/2023/c231019aeng.html,
Honda,General Motors,Jointventure,pour 2026,,création coentreprise qui lancera un service de covoiturage sans conducteur au Japon ,https://global.honda/en/newsroom/news/2023/c231019aeng.html,
Cruise,General Motors,Jointventure,pour 2026,,création coentreprise qui lancera un service de covoiturage sans conducteur au Japon ,https://global.honda/en/newsroom/news/2023/c231019aeng.html,
Meta,Arm,Accord de coopération stratégique,2025,Non-concurrence,amélioration de l'ia de meta,https://newsroom.arm.com/news/arm-meta-strategic-partnership,
Red Hat,Alphabet,Accord de coopération stratégique,,,collaboration étendue,https://www.distributique.com/actualites/lire-red-hat-etend-et-peaufine-ses-partenariats-avec-oracle-google-et-meta-36228.html,
Red Hat,Oracle,Accord de coopération stratégique,,,collaboration étendue,https://www.distributique.com/actualites/lire-red-hat-etend-et-peaufine-ses-partenariats-avec-oracle-google-et-meta-36228.html,
Red Hat,Meta,Accord de coopération stratégique,,,collaboration étendue,https://www.distributique.com/actualites/lire-red-hat-etend-et-peaufine-ses-partenariats-avec-oracle-google-et-meta-36228.html,
Meta,Oracle,Investissement,,,investissment ia,https://fr.businessam.be/cours-de-laction-oracle-prevoit-une-forte-croissance-grace-aux-services-cloud-a-lia-et-a-sa-collaboration-avec-meta/,
Meta,Oracle,Client/fournisseur,,,fournisseur de cloud,https://fr.businessam.be/cours-de-laction-oracle-prevoit-une-forte-croissance-grace-aux-services-cloud-a-lia-et-a-sa-collaboration-avec-meta/,
Arm,Scale AI,Accord de coopération stratégique,,,amelioration de l'ia de scale IA,https://techcrunch.com/2025/10/15/arm-partners-with-meta-to-scale-ai-efforts/,
Mercedes-Benz,Meta,Accord de coopération stratégique,,,l’intelligence artificielle dans la performance sportive et l’expérience fan.,https://www.sportspro.com/sponsorship-marketing/mercedes-f1-meta-ai-whatsapp-october-2025/,
Meta,Qualcomm,Accord de coopération stratégique,,,lunettes intelligentes,https://www.expansion.com/economia-digital/companias/2025/10/13/68ecbc09e5fdead3338b4572.html?intcmp=NOT002,
NBA,AWS,Accord de coopération stratégique,,,partenaire de cloud principal ,https://football.newstank.ch/article/view/413905/nba-amazon-web-services-official-cloud-cloud-ai-partner-create-basketball.html,
IBM,BharatGen,Accord de coopération stratégique,,,Partenariat stratégique pour accélérer l’adoption de l’intelligence artificielle (IA) en Inde,https://yourstory.com/2025/09/startup-news-updates-daily-roundup-september-18-2025,
Google,Anthropic,Investissement,2023,,Investissement en capital 2 millions dollars développement des modèles d’IA Anthropic,https://www.reuters.com/technology/google-agrees-invest-up-2-bln-openai-rival-anthropic-wsj-2023-10-27/?utm_source=chatgpt.com,
Nokia,Vodafone Group,Accord de coopération stratégique,,,Extension de partenariat stratégique pour le déploiement du réseau 5G (RAN) en Europe et Afrique,https://afcacia.io/nokia-and-vodafones-latest-deal-could-redefine-how-africa-and-europe-stay-connected/,
Nvidia,Aligned Data Centers,Investissement,,,participation au consortium pour l’acquisition d’Aligned Data Centers,https://www.reuters.com/legal/transactional/blackrock-nvidia-buy-aligned-data-centers-40-billion-deal-2025-10-15/?utm_source=chatgpt.com,
Microsoft,Aligned Data Centers,Investissement,,,participation au consortium pour l’acquisition d’Aligned Data Centers,https://www.reuters.com/legal/transactional/blackrock-nvidia-buy-aligned-data-centers-40-billion-deal-2025-10-15/?utm_source=chatgpt.com,
ASML,Mistral AI,Investissement,,,"1,3 milliard €",https://www.courrierinternational.com/article/technologie-l-accord-historique-entre-mistral-ai-et-asml-est-un-pas-vers-la-souverainete-de-l-europe_234963,
